driver_id,driver_name,join_date,rating
1,Dinesh Gupta,2023-04-04,4.62
2,Sanjay Mishra,2023-01-16,4.6
3,Rahul Singh,2024-05-04,4.94
4,Pradeep Sharma,2021-08-26,4.65
5,Amit Rao,2022-06-05,4.48
6,Dinesh Patel,2021-08-20,4.76
7,Ramesh Reddy,2022-06-14,4.61
8,Nikhil Naidu,2022-01-16,4.63
9,Sanjay Gupta,2023-10-21,4.8
10,Nikhil Mishra,2025-01-20,4.86
11,Sanjay Iyer,2023-07-02,4.41
12,Rakesh Joshi,2023-12-26,4.93
13,Dinesh Joshi,2022-03-28,4.61
14,Sanjay Sharma,2024-01-28,4.61
15,Pawan Nair,2024-03-04,4.44
16,Rahul Joshi,2024-08-10,4.75
17,Venkat Verma,2023-05-06,4.36
18,Amit Pillai,2024-01-17,4.72
19,Ashok Nair,2022-01-25,4.92
20,Amit Naidu,2024-02-05,4.56
21,Naveen Gupta,2022-06-06,4.81
22,Suresh Rao,2024-11-17,4.63
23,Ramesh Kumar,2024-05-20,4.37
24,Manoj Singh,2022-02-09,4.64
25,Rakesh Desai,2025-04-28,4.59
26,Ramesh Reddy,2023-08-02,4.78
27,Pawan Patel,2023-06-12,4.55
28,Sanjay Mishra,2021-11-15,4.71
29,Pawan Kumar,2021-08-12,4.43
30,Rakesh Sharma,2024-09-30,4.7
31,Sanjay Desai,2022-11-13,4.62
32,Rahul Pillai,2022-02-14,4.6
33,Pawan Mishra,2024-07-15,4.63
34,Rahul Patel,2021-09-21,4.57
35,Rahul Kumar,2021-09-06,4.65
36,Vijay Kumar,2022-05-21,4.58
37,Rahul Naidu,2023-04-01,4.44
38,Manoj Reddy,2021-12-05,4.39
39,Manoj Nair,2022-11-14,4.53
40,Amit Sharma,2024-04-22,4.56
41,Arjun Mishra,2023-08-19,4.1
42,Ravi Gupta,2021-12-18,4.62
43,Naveen Sharma,2022-01-01,5.0
44,Ashok Gupta,2021-09-01,3.98
45,Sanjay Desai,2024-09-29,4.59
46,Suresh Nair,2023-04-16,4.47
47,Sanjay Naidu,2022-03-28,4.31
48,Kiran Patel,2023-01-12,4.78
49,Dinesh Joshi,2024-08-10,4.7
50,Anil Verma,2021-10-30,4.4
51,Satish Desai,2023-02-02,4.07
52,Suresh Sharma,2022-01-16,4.77
53,Nikhil Iyer,2023-02-09,3.61
54,Anil Mishra,2024-05-20,4.57
55,Manoj Reddy,2025-06-17,4.66
56,Vijay Reddy,2022-06-04,4.72
57,Anil Rao,2022-11-02,4.42
58,Rahul Sharma,2025-02-01,4.72
59,Manoj Sharma,2023-03-09,4.63
60,Sanjay Desai,2024-05-21,4.82
61,Ramesh Verma,2024-07-22,4.76
62,Satish Iyer,2021-12-26,4.63
63,Pradeep Joshi,2024-02-17,4.79
64,Kiran Reddy,2025-02-23,4.35
65,Rakesh Sharma,2023-11-21,4.55
66,Amit Patel,2024-06-09,4.44
67,Arjun Kumar,2022-04-28,4.52
68,Venkat Joshi,2023-04-25,4.52
69,Suresh Verma,2024-11-14,4.39
70,Sanjay Gupta,2024-08-22,4.79
71,Dinesh Verma,2021-10-24,4.76
72,Dinesh Gupta,2023-12-12,4.51
73,Manoj Joshi,2022-09-30,4.2
74,Rakesh Patel,2024-10-28,4.53
75,Amit Sharma,2022-05-19,4.61
76,Suresh Desai,2023-05-18,4.86
77,Rakesh Pillai,2022-06-09,4.52
78,Dinesh Iyer,2024-07-02,4.8
79,Pawan Singh,2023-12-16,4.53
80,Arjun Joshi,2022-11-27,3.74
81,Pradeep Nair,2023-06-27,4.77
82,Arjun Reddy,2021-12-11,4.72
83,Naveen Singh,2025-02-09,3.86
84,Pradeep Gupta,2025-02-07,4.55
85,Arjun Naidu,2022-04-10,4.73
86,Amit Desai,2022-09-02,4.34
87,Pawan Gupta,2023-07-13,4.76
88,Kiran Reddy,2025-04-24,4.4
89,Ashok Rao,2022-07-21,4.38
90,Naveen Iyer,2024-07-24,4.52
91,Satish Patel,2024-11-10,4.04
92,Anil Desai,2023-05-10,4.65
93,Kiran Gupta,2023-08-03,4.67
94,Arjun Gupta,2022-05-24,4.63
95,Nikhil Sharma,2022-11-29,4.44
96,Arjun Gupta,2022-07-26,4.84
97,Nikhil Joshi,2022-08-05,4.63
98,Nikhil Nair,2024-06-03,4.79
99,Pawan Singh,2024-08-03,4.21
100,Dinesh Verma,2024-12-06,4.72
101,Sanjay Verma,2023-12-12,4.52
102,Ravi Nair,2024-10-27,4.76
103,Rakesh Pillai,2022-10-11,4.94
104,Arjun Joshi,2021-07-27,3.51
105,Sanjay Desai,2022-03-04,4.77
106,Rahul Iyer,2023-10-22,3.61
107,Kiran Nair,2024-08-09,4.28
108,Manoj Pillai,2024-11-13,4.79
109,Pradeep Gupta,2021-12-01,4.95
110,Rakesh Nair,2023-06-05,5.0
111,Dinesh Kumar,2025-01-14,4.67
112,Vijay Patel,2022-08-14,4.36
113,Ramesh Singh,2025-05-08,3.89
114,Ravi Patel,2022-07-05,4.6
115,Arjun Nair,2024-02-27,4.82
116,Rahul Patel,2022-12-25,4.62
117,Pawan Desai,2025-02-14,4.25
118,Sanjay Rao,2021-11-26,3.78
119,Manoj Naidu,2024-02-23,4.63
120,Ramesh Patel,2022-07-18,4.78
121,Nikhil Iyer,2025-01-25,4.66
122,Nikhil Iyer,2021-08-06,4.74
123,Arjun Singh,2023-08-05,4.62
124,Ravi Reddy,2023-07-20,4.67
125,Arjun Reddy,2024-10-29,4.45
126,Venkat Kumar,2022-04-06,4.68
127,Suresh Gupta,2022-07-19,4.59
128,Arjun Verma,2025-01-01,4.71
129,Ramesh Nair,2022-05-17,4.41
130,Venkat Mishra,2021-12-02,4.87
131,Arjun Singh,2021-08-13,4.66
132,Vijay Joshi,2021-09-02,4.76
133,Dinesh Gupta,2023-06-16,4.62
134,Rahul Rao,2025-03-24,4.73
135,Pawan Verma,2023-02-12,4.22
136,Anil Desai,2022-03-31,4.6
137,Anil Desai,2025-05-25,4.48
138,Pawan Joshi,2023-05-15,4.56
139,Dinesh Gupta,2022-12-15,4.8
140,Ramesh Pillai,2022-11-10,4.33
141,Rahul Verma,2022-05-26,4.75
142,Kiran Singh,2023-10-27,4.7
143,Kiran Naidu,2024-05-20,4.85
144,Venkat Joshi,2022-10-24,4.25
145,Dinesh Sharma,2021-08-12,3.77
146,Satish Mishra,2024-12-30,4.67
147,Satish Nair,2023-01-08,4.61
148,Rahul Reddy,2024-02-02,3.98
149,Ramesh Singh,2022-01-15,4.24
150,Pawan Patel,2022-01-10,4.64
151,Ravi Reddy,2023-10-07,4.8
152,Naveen Iyer,2023-08-28,4.33
153,Satish Reddy,2022-11-28,4.73
154,Naveen Nair,2024-12-01,4.68
155,Ravi Mishra,2024-10-31,4.24
156,Ramesh Rao,2024-02-18,4.82
157,Ravi Mishra,2022-03-07,4.46
158,Naveen Gupta,2023-08-21,4.9
159,Kiran Sharma,2024-06-04,4.72
160,Anil Mishra,2025-04-25,4.67
161,Suresh Gupta,2024-06-30,4.8
162,Suresh Kumar,2022-12-22,4.78
163,Naveen Patel,2021-12-07,4.27
164,Pradeep Patel,2022-12-23,4.31
165,Arjun Sharma,2021-12-22,4.59
166,Pawan Kumar,2021-08-01,4.43
167,Manoj Singh,2023-10-24,4.92
168,Sanjay Reddy,2021-08-11,4.44
169,Satish Sharma,2024-08-19,4.64
170,Kiran Rao,2021-09-12,4.72
171,Rakesh Reddy,2022-09-23,3.51
172,Ramesh Desai,2024-11-07,4.83
173,Sanjay Iyer,2023-03-23,4.5
174,Ramesh Sharma,2023-09-09,4.71
175,Rakesh Nair,2021-10-10,4.07
176,Ramesh Reddy,2021-11-11,4.73
177,Vijay Pillai,2023-04-30,4.44
178,Anil Joshi,2024-11-06,4.99
179,Anil Sharma,2021-11-17,4.4
180,Ramesh Reddy,2023-06-11,4.74
181,Suresh Iyer,2023-06-18,4.46
182,Ashok Nair,2025-02-09,4.69
183,Dinesh Sharma,2023-12-29,4.58
184,Rakesh Joshi,2024-05-15,4.39
185,Pradeep Mishra,2023-07-27,4.17
186,Nikhil Iyer,2021-11-21,4.78
187,Nikhil Sharma,2024-03-23,4.52
188,Naveen Iyer,2024-09-09,4.65
189,Suresh Desai,2023-09-25,4.94
190,Naveen Iyer,2022-09-18,4.73
191,Manoj Singh,2022-05-17,4.1
192,Arjun Sharma,2024-08-17,4.4
193,Vijay Sharma,2024-07-14,4.29
194,Satish Nair,2021-11-28,4.47
195,Ashok Pillai,2022-05-05,4.57
196,Ravi Singh,2022-05-25,5.0
197,Dinesh Desai,2023-10-21,4.1
198,Vijay Iyer,2021-08-17,4.68
199,Pradeep Mishra,2023-01-09,4.7
200,Pawan Pillai,2022-01-30,4.71
201,Nikhil Joshi,2023-05-10,4.3
202,Amit Desai,2024-03-21,4.37
203,Rahul Desai,2023-05-10,4.7
204,Rahul Iyer,2022-06-05,4.62
205,Pawan Verma,2022-11-28,4.67
206,Kiran Verma,2023-11-12,4.91
207,Venkat Kumar,2023-08-09,4.5
208,Venkat Gupta,2022-12-02,4.55
209,Ravi Rao,2021-08-23,4.66
210,Rahul Sharma,2025-06-08,4.31
211,Ravi Desai,2024-10-04,4.35
212,Arjun Iyer,2023-01-17,4.87
213,Ramesh Rao,2024-04-07,4.57
214,Arjun Reddy,2023-03-29,4.53
215,Satish Gupta,2022-11-27,4.66
